 Yr doy   snow   pool_w1   pool_w2  stat_w1   stat_w2
   2  58   1894.30     27.28     21.57      0.45      0.28
   2  59   1898.96     27.28     21.58      0.45      0.28
   2  60   1903.44     27.28     21.58      0.45      0.28
   2  61   1907.76     27.27     21.59      0.45      0.28
   2  62   1911.84     27.27     21.59      0.45      0.28
   2  63   1915.56     27.27     21.59      0.45      0.28
   2  64   1919.12     27.27     21.60      0.45      0.28
   2  65   1922.75     27.27     21.60      0.45      0.28
   2  66   1926.53     27.27     21.61      0.45      0.28
   2  67   1930.38     27.27     21.61      0.45      0.28
   2  68   1934.10     27.27     21.61      0.45      0.28
   2  69   1937.73     27.26     21.62      0.45      0.28
   2  70   1941.70     27.26     21.62      0.45      0.28
   2  71   1945.62     27.26     21.62      0.45      0.28
   2  72   1949.18     27.26     21.62      0.45      0.28
   2  73   1952.75     27.26     21.63      0.45      0.28
   2  74   1956.46     27.26     21.63      0.45      0.28
   2  75   1960.10     27.26     21.63      0.45      0.28
   2  76   1963.83     27.26     21.63      0.45      0.28
   2  77   1967.35     27.26     21.63      0.45      0.28
   2  78   1970.44     27.25     21.64      0.45      0.28
   2  79   1973.52     27.25     21.64      0.45      0.28
   2  80   1976.86     27.25     21.64      0.45      0.28
   2  81   1979.69     27.25     21.64      0.44      0.28
   2  82   1982.35     27.25     21.64      0.44      0.28
   2  83   1985.14     27.25     21.64      0.44      0.28
   2  84   1988.11     27.25     21.64      0.44      0.28
   2  85   1991.24     27.25     21.64      0.44      0.28
   2  86   1994.58     27.25     21.64      0.44      0.28
   2  87   1997.94     27.25     21.64      0.44      0.28
   2  88   2001.56     27.24     21.64      0.44      0.28
   2  89   2005.42     27.24     21.64      0.44      0.28
   2  90   2009.15     27.24     21.64      0.44      0.28
   2  91   2012.48     27.24     21.64      0.44      0.28
   2  92   2015.24     27.24     21.64      0.44      0.28
   2  93   2017.88     27.24     21.64      0.44      0.28
   2  94   2020.60     27.24     21.64      0.44      0.28
   2  95   2023.57     27.24     21.64      0.44      0.28
   2  96   2026.76     27.24     21.65      0.44      0.28
   2  97   2029.98     27.24     21.65      0.44      0.28
   2  98   2032.53     27.24     21.65      0.44      0.28
   2  99   2034.90     27.23     21.65      0.44      0.28
   2 100   2037.21     27.23     21.65      0.44      0.28
   2 101   2039.58     27.23     21.65      0.44      0.28
   2 102   2042.22     27.23     21.65      0.44      0.28
   2 103   2044.71     27.23     21.65      0.44      0.28
   2 104   2047.09     27.23     21.65      0.44      0.28
   2 105   2049.43     27.23     21.65      0.44      0.28
   2 106   2051.60     27.23     21.65      0.44      0.28
   2 107   2053.71     27.23     21.65      0.44      0.28
   2 108   2055.81     27.23     21.65      0.44      0.28
   2 109   2057.99     27.23     21.65      0.44      0.28
   2 110   2060.36     27.23     21.65      0.44      0.28
   2 111   2062.84     27.22     21.66      0.44      0.28
   2 112   2065.21     27.22     21.66      0.44      0.28
   2 113   2067.19     27.22     21.66      0.44      0.28
   2 114   2069.10     27.22     21.66      0.44      0.28
   2 115   2070.99     27.22     21.66      0.44      0.28
   2 116   2072.94     27.22     21.66      0.44      0.28
   2 117   2074.92     27.22     21.66      0.44      0.28
   2 118   2077.04     27.22     21.66      0.44      0.28
   2 119   2079.16     27.22     21.66      0.44      0.28
   2 120   2081.11     27.22     21.66      0.44      0.28
   2 121   2083.16     27.22     21.66      0.44      0.28
   2 122   2085.31     27.22     21.66      0.44      0.28
   2 123   2087.52     27.22     21.66      0.44      0.28
   2 124   2089.73     27.22     21.66      0.44      0.28
   2 125   2091.93     27.22     21.66      0.44      0.28
   2 126   2094.12     27.21     21.66      0.44      0.28
   2 127   2096.44     27.21     21.67      0.44      0.28
   2 128   2098.90     27.21     21.67      0.44      0.28
   2 129   2100.97     27.21     21.67      0.44      0.28
   2 130   2102.97     27.21     21.67      0.44      0.28
   2 131   2104.98     27.21     21.67      0.44      0.28
   2 132   2106.88     27.21     21.67      0.44      0.28
   2 133   2108.69     27.21     21.67      0.44      0.28
   2 134   2110.60     27.21     21.67      0.44      0.28
   2 135   2112.70     27.21     21.67      0.44      0.28
   2 136   2114.88     27.21     21.67      0.44      0.28
   2 137   2117.11     27.21     21.67      0.44      0.28
   2 138   2119.37     27.21     21.67      0.44      0.28
   2 139   2121.57     27.21     21.67      0.44      0.28
   2 140   2123.80     27.21     21.67      0.44      0.28
