   7.74,   2.91,   0.00,  47.50,  72.11,   4.57,
   5.00,   3.96,   0.93,  51.20,  81.58,   7.72,
   2.74,   0.81,   0.24,  52.87,  82.74,   5.09,
   7.13,   0.00,   0.00,  13.46,  65.90,   3.45,
   8.46,   0.00,   0.00,  39.27,  64.33,   5.86,
  10.96,   9.39,   0.00,  61.64,  72.25,   4.05,
   6.41,   1.78,   0.31,  67.42,  80.25,   5.97,
   6.69,   0.10,   0.02,  34.87,  73.44,   6.61,
  11.20,   0.00,   0.00,  23.10,  65.62,   4.35,
   9.08,   0.00,   0.00,  25.63,  65.74,   6.89,
   7.59,   2.42,   0.32,  38.53,  64.15,   5.86,
   5.40,   7.11,   0.63,  61.42,  87.07,   3.82,
   3.65,   3.10,   1.59,  46.63,  77.72,   6.35,
   2.72,   0.15,   0.02,  38.86,  74.37,   7.62,
   6.40,  12.25,   0.44,  59.54,  75.61,   3.48,
   5.74,   0.00,   0.00,  49.78,  75.36,   4.20,
   5.81,  23.37,   0.91,  57.00,  70.06,   1.97,
   3.80,   1.62,   0.22,  46.18,  76.26,   4.58,
   1.66,   4.35,   0.42,  52.75,  81.63,   5.43,
   3.45,   1.47,   0.20,  60.65,  75.59,   8.77,
   8.32,   5.49,   0.04,  53.92,  66.49,   1.25,
   7.23,   4.59,   0.00,  72.39,  82.78,   7.63,
   7.08,   8.31,   0.00,  62.33,  85.15,   4.99,
   6.81,   0.09,   0.00,  68.54,  81.74,   8.24,
  12.47,   0.00,   0.00,   1.71,  62.64,   1.79,
  13.12,   2.38,   0.00,  51.88,  71.91,   6.92,
   8.03,   0.00,   0.00,  13.84,  69.65,   4.09,
   9.92,   0.00,   0.00,   0.00,  56.59,   2.16,
  12.78,   0.00,   0.00,  47.46,  52.51,   6.44,
  10.82,  12.19,   0.00,  67.29,  75.94,   6.40,
   5.60,   0.00,   0.00,  10.25,  69.77,   8.00,
   7.50,   0.00,   0.00,   0.45,  57.43,   6.34,
  11.92,   0.00,   0.00,  21.31,  54.09,   6.09,
  12.17,   0.00,   0.00,  41.87,  58.20,   5.27,
  13.61,   0.00,   0.00,  14.06,  67.49,   3.91,
  13.65,   0.00,   0.00,   0.33,  63.36,   2.92,
  16.06,   0.00,   0.00,  27.46,  62.14,   7.08,
  14.56,   0.00,   0.00,  51.43,  60.72,   5.35,
  13.23,   0.00,   0.00,  45.88,  53.80,   1.49,
  10.51,   0.00,   0.00,  24.28,  39.98,   7.02,
  12.77,   0.00,   0.00,  49.26,  60.05,   2.49,
  13.88,   0.00,   0.00,  48.07,  66.25,   3.53,
  14.88,   0.00,   0.00,  10.51,  66.05,   4.31,
  14.94,   0.02,   0.00,  31.82,  70.71,   5.86,
  10.84,   0.00,   0.00,   3.04,  69.64,   5.15,
  14.53,   0.00,   0.00,  14.74,  55.13,   4.16,
  13.86,   0.00,   0.00,  40.91,  60.52,   5.71,
  14.91,   7.20,   0.00,  56.96,  78.27,   3.75,
  13.96,  16.23,   0.00,  66.80,  86.93,   5.48,
  14.14,   0.00,   0.00,  44.50,  72.93,   5.58,
  13.13,   0.00,   0.00,  47.04,  71.35,   4.44,
  14.61,   0.00,   0.00,  58.05,  76.70,   1.14,
  15.85,   0.00,   0.00,  23.05,  74.96,   3.76,
  16.04,   3.54,   0.00,  49.16,  80.23,   4.70,
  17.17,   0.00,   0.00,  21.45,  67.23,   5.98,
  15.90,   0.00,   0.00,  26.72,  70.21,   2.79,
  15.91,   0.00,   0.00,  45.62,  64.76,   1.25,
  14.43,   0.00,   0.00,  32.16,  63.66,   3.00,
  14.89,   0.00,   0.00,  23.82,  59.58,   2.82,
  14.04,   0.00,   0.00,  45.48,  55.04,   3.49,
  13.93,   0.00,   0.00,  36.54,  54.47,   3.91,
  15.27,   0.00,   0.00,   7.14,  63.36,   3.63,
  16.71,   0.00,   0.00,  36.78,  61.51,   3.90,
  15.80,   0.04,   0.00,  42.38,  69.91,   6.33,
  15.75,   0.03,   0.00,  41.59,  73.03,   3.44,
  16.87,   0.00,   0.00,  27.84,  67.30,   2.15,
  16.36,   0.00,   0.00,  32.16,  57.99,   5.00,
  15.20,   2.06,   0.00,  55.96,  71.36,   6.09,
  15.21,   4.23,   0.00,  46.79,  82.21,   4.63,
  16.47,   0.23,   0.00,  28.29,  67.59,   3.35,
  13.98,  15.75,   0.00,  58.79,  82.95,   4.80,
  12.21,   0.00,   0.00,  29.14,  72.90,   3.87,
  16.89,   0.00,   0.00,   8.58,  60.40,   3.04,
  19.58,   0.00,   0.00,  48.87,  58.28,   6.34,
  18.31,   0.00,   0.00,  16.05,  60.43,   6.96,
  19.21,   0.00,   0.00,  50.31,  60.04,   6.27,
  17.99,   0.54,   0.00,  48.13,  77.57,   5.72,
  17.72,   1.22,   0.00,  24.31,  73.92,   4.87,
  17.00,  21.92,   0.00,  68.62,  86.64,   3.07,
  17.58,   0.01,   0.00,  52.69,  78.62,   5.16,
  19.49,   2.01,   0.00,  50.87,  80.64,   1.44,
  17.79,   1.27,   0.00,  64.11,  88.32,   6.54,
  18.05,  44.25,   0.00,  74.26,  87.57,   2.44,
  17.77,  16.08,   0.00,  80.93,  93.69,   3.45,
  18.22,   3.66,   0.00,  55.54,  83.71,   4.46,
  17.59,   7.43,   0.00,  59.91,  88.67,   2.12,
  15.42,  16.22,   0.00,  92.16,  93.50,   4.75,
  15.98,   0.04,   0.00,  92.61,  93.99,   4.17,
  18.75,   0.01,   0.00,  49.29,  84.02,   2.48,
  19.23,   0.00,   0.00,  54.88,  83.51,   2.91,
  20.25,   0.00,   0.00,  34.48,  77.80,   4.53,
  20.61,   0.00,   0.00,  38.61,  76.70,   5.42,
  19.98,   0.69,   0.00,  60.01,  82.88,   5.48,
  19.66,   0.00,   0.00,  47.72,  67.05,   3.15,
  18.86,   0.00,   0.00,  47.63,  68.45,   2.28,
  17.59,   0.00,   0.00,  52.16,  69.95,   2.99,
  18.48,   0.00,   0.00,  43.18,  76.98,   2.31,
  18.27,   0.00,   0.00,  51.77,  76.62,   3.49,
  19.52,   0.00,   0.00,  43.94,  73.52,   1.23,
  19.71,   0.01,   0.00,  47.05,  72.61,   2.30,
  20.94,   0.05,   0.00,  49.73,  64.28,   3.38,
