Year, TreeDensity, Heigh, DBH, BA, MassW, MassW_ag, MassG, Litter, SOM, GPP, NPP , NEE, LAImax_W, LAImax_G, LAImean_W, LAImean_G, ccon, RO, Biome, ALD, ALD_DOY, Min_20yrMaxsnow, Max_snow
  66,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.6,  11.5,  65.8, 53.6, 10.5,   6.4,  1.1,  0.0,  3.5,  0.0,  3.0,  0.246, 841.1, 11, 20,365,  17792.35,  24910.76
  67,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.5,  11.4,  66.1, 54.3, 10.6,   6.4,  1.0,  0.0,  3.5,  0.0,  3.0,  0.438,1015.0, 11, 20,365,  18258.62,  25377.85
  68,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  66.3, 55.1,  9.8,   5.9,  0.6,  0.0,  3.4,  0.0,  2.9,  0.344, 906.1, 11, 20,365,  18592.28,  25711.99
  69,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  66.5, 55.8, 10.3,   6.2,  0.9,  0.0,  3.4,  0.0,  3.0,  0.229, 935.7, 11, 20,365,  18949.88,  26070.04
  70,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  11.0,  66.6, 56.5, 10.2,   6.1,  0.8,  0.0,  3.4,  0.0,  2.9,  0.323, 936.2, 11, 20,365,  19379.84,  26500.61
  71,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  66.8, 57.2, 10.6,   6.4,  1.0,  0.0,  3.4,  0.0,  3.0,  0.211, 954.0, 11, 20,365,  19744.51,  26865.86
  72,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.1,  67.0, 57.9, 10.4,   6.2,  0.8,  0.0,  3.4,  0.0,  3.0,  0.322,1032.3, 11, 20,365,  20140.75,  27262.62
  73,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.0,  10.8,  67.1, 58.6,  9.8,   5.9,  0.5,  0.0,  3.4,  0.0,  2.9,  0.391,1029.2, 11, 20,365,  20471.10,  27593.42
  74,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  67.2, 59.2, 10.7,   6.5,  1.1,  0.0,  3.4,  0.0,  3.0,  0.351, 975.6, 11, 20,365,  20730.75,  27853.37
  75,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.3,  67.5, 59.9, 10.7,   6.5,  1.1,  0.0,  3.4,  0.0,  3.0,  0.300, 863.1, 11, 20,365,  21062.03,  28184.94
  76,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.3,  67.8, 60.5, 10.6,   6.4,  1.0,  0.0,  3.4,  0.0,  3.0,  0.227,1023.8, 11, 20,365,  21493.08,  28616.53
  77,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.1,  68.1, 61.2, 10.1,   6.1,  0.7,  0.0,  3.4,  0.0,  3.0,  0.278, 892.6, 11, 20,365,  21911.98,  29036.02
  78,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  11.0,  68.2, 61.8, 10.0,   6.0,  0.6,  0.0,  3.4,  0.0,  2.9,  0.352, 894.5, 11, 20,365,  22182.38,  29306.66
  79,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  10.9,  68.4, 62.4, 10.2,   6.2,  0.8,  0.0,  3.4,  0.0,  3.0,  0.352, 862.6, 11, 20,365,  22583.79,  29708.56
  80,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  10.9,  68.5, 63.0, 10.2,   6.2,  0.8,  0.0,  3.4,  0.0,  3.0,  0.233, 900.7, 11, 20,365,  22994.29,  30119.60
  81,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.5,  11.3,  68.7, 63.7, 10.9,   6.6,  1.2,  0.0,  3.4,  0.0,  3.0,  0.321, 975.1, 11, 20,365,  23379.35,  30505.03
  82,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.8,  11.6,  69.2, 64.3, 11.3,   6.9,  1.4,  0.0,  3.4,  0.0,  3.1,  0.360,1043.7, 11, 20,365,  23780.06,  30906.20
  83,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.8,  11.6,  69.6, 64.9, 10.7,   6.5,  1.0,  0.0,  3.5,  0.0,  3.0,  0.437, 855.2, 11, 20,365,  24080.85,  31207.22
  84,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.7,  11.5,  70.1, 65.5, 10.6,   6.4,  1.0,  0.0,  3.5,  0.0,  3.0,  0.300, 821.3, 11, 20,365,  24456.29,  31582.99
  85,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.6,  11.5,  70.5, 66.1, 10.5,   6.4,  0.9,  0.0,  3.5,  0.0,  3.0,  0.246, 841.0, 11, 20,365,  24910.76,  32038.07
  86,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.5,  11.4,  70.8, 66.6, 10.6,   6.4,  0.8,  0.0,  3.5,  0.0,  3.0,  0.438,1015.0, 11, 20,365,  25377.85,  32505.74
  87,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  71.0, 67.2,  9.8,   5.9,  0.4,  0.0,  3.4,  0.0,  2.9,  0.345, 906.0, 11, 20,365,  25711.99,  32840.14
  88,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.0,  71.1, 67.8, 10.3,   6.2,  0.7,  0.0,  3.4,  0.0,  3.0,  0.229, 935.6, 11, 20,365,  26070.04,  33198.27
  89,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  11.0,  71.1, 68.4, 10.2,   6.1,  0.6,  0.0,  3.4,  0.0,  2.9,  0.323, 936.1, 11, 20,365,  26500.61,  33629.13
  90,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  71.3, 68.9, 10.6,   6.4,  0.9,  0.0,  3.4,  0.0,  3.0,  0.211, 953.9, 11, 20,365,  26865.86,  33994.57
  91,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.1,  71.5, 69.5, 10.4,   6.2,  0.7,  0.0,  3.4,  0.0,  3.0,  0.322,1032.4, 11, 20,365,  27262.62,  34391.52
  92,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.0,  10.8,  71.5, 70.0,  9.8,   5.9,  0.3,  0.0,  3.4,  0.0,  2.9,  0.391,1029.3, 11, 20,365,  27593.42,  34722.33
  93,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.3,  11.1,  71.6, 70.6, 10.7,   6.5,  1.0,  0.0,  3.4,  0.0,  3.0,  0.351, 975.5, 11, 20,365,  27853.37,  34982.16
  94,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.3,  71.9, 71.1, 10.7,   6.5,  1.0,  0.0,  3.4,  0.0,  3.0,  0.300, 862.9, 11, 20,365,  28184.94,  35313.98
  95,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.4,  11.3,  72.2, 71.6, 10.6,   6.4,  0.8,  0.0,  3.4,  0.0,  3.0,  0.227,1023.8, 11, 20,365,  28616.53,  35746.14
  96,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.2,  11.1,  72.4, 72.1, 10.1,   6.1,  0.5,  0.0,  3.4,  0.0,  3.0,  0.278, 892.5, 11, 20,365,  29036.02,  36165.93
  97,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  11.0,  72.5, 72.7, 10.0,   6.0,  0.5,  0.0,  3.4,  0.0,  2.9,  0.352, 894.4, 11, 20,365,  29306.66,  36436.64
  98,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  10.9,  72.6, 73.2, 10.2,   6.2,  0.6,  0.0,  3.4,  0.0,  3.0,  0.353, 862.5, 11, 20,365,  29708.56,  36838.82
  99,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.1,  10.9,  72.8, 73.7, 10.2,   6.2,  0.6,  0.0,  3.4,  0.0,  3.0,  0.233, 900.6, 11, 20,365,  30119.60,  37250.59
 100,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.5,  11.3,  72.9, 74.2, 10.9,   6.6,  1.0,  0.0,  3.4,  0.0,  3.0,  0.321, 975.0, 11, 20,365,  30505.03,  37636.32
 101,    0.0,    0.0,    0.000,    0.000,   0.0,   0.0,  12.8,  11.6,  73.3, 74.6, 11.3,   6.9,  1.3,  0.0,  3.4,  0.0,  3.1,  0.360,1043.7, 11, 20,365,  30906.20,  38037.85
