7.44,8.3,0,290.3455325,380.672523,2.5,83,15.9,15.9,15.9,7.44,7.44
7.84,10.7,0,551.5808222,358.4172677,2.5,69,16.3,16.3,16.3,7.84,7.84
10.0,10,0,621.4108748,365.146482,2.8,74,18.5,18.5,18.5,10.0,10.0
10.4,12.2,0,904.8921972,341.7140972,3.7,85,18.9,18.9,18.9,10.4,10.4
9.64,7.7,0,569.3070703,367.565865,2.3,92,18.1,18.1,18.1,9.64,9.64
11.1,10.1,0,580.6731131,375.7118073,3.4,81,19.6,19.6,19.6,11.1,11.1
11.4,7.6,0,286.8452208,404.1488436,2,87,19.9,19.9,19.9,11.4,11.4
10.8,7.1,0,549.9894036,376.7232231,2.7,77,19.3,19.3,19.3,10.8,10.8
9.64,6.2,0,314.47371,391.2025331,3.7,78,18.1,18.1,18.1,9.64,9.64
9.44,5.7,18,288.0443489,392.5286858,1.4,88,17.9,17.9,17.9,9.44,9.44
9.54,8.4,4,514.7033882,372.2191918,2.4,83,18,18,18,9.54,9.54
8.74,5.2,0,288.9484211,388.5246041,2.8,79,17.2,17.2,17.2,8.74,8.74
9.54,10,0,667.6960394,358.1823495,2.8,77,18,18,18,9.54,9.54
9.94,10.2,0,582.2466994,368.5384444,3,74,18.4,18.4,18.4,9.94,9.94
11.6,6.8,1,463.9935316,389.6835228,3.9,76,20.1,20.1,20.1,11.6,11.6
9.54,3.8,5,291.0028116,393.1033483,1.3,81,18,18,18,9.54,9.54
10.1,8,3,503.8691678,377.0925543,2,82,18.6,18.6,18.6,10.1,10.1
10.1,10.8,0,979.424242,333.5273614,3.2,71,18.6,18.6,18.6,10.1,10.1
8.84,5,0,413.0025562,377.9127534,4,75,17.3,17.3,17.3,8.84,8.84
8.74,5.6,3,293.377725,388.5246041,4.3,93,17.2,17.2,17.2,8.74,8.74
11.4,5.9,0,310.4887676,402.6608115,3.5,87,19.9,19.9,19.9,11.4,11.4
11.3,4.5,37,294.6823367,403.5614571,4.2,80,19.8,19.8,19.8,11.3,11.3
15.6,10.5,0,460.7993217,415.3318998,3,75,24.1,24.1,24.1,15.6,15.6
13.3,9,1,450.8362139,401.7898472,3,81,21.8,21.8,21.8,13.3,13.3
12.9,6.8,13,390.9795699,404.6896055,3.1,79,21.4,21.4,21.4,12.9,12.9
10.4,3.8,17,297.5196753,398.3052805,4.4,79,18.9,18.9,18.9,10.4,10.4
10.5,4.8,1,482.0494521,382.1058164,3.3,85,19,19,19,10.5,10.5
10.3,8.2,0,829.4691414,349.1816346,2.5,77,18.8,18.8,18.8,10.3,10.3
11.3,7.6,6,641.3299586,372.6686374,4.7,69,19.8,19.8,19.8,11.3,11.3
12.6,7.7,6,474.6649368,395.7616703,3.8,67,21.1,21.1,21.1,12.6,12.6
13.4,3.7,5,255.4244629,416.0392195,2.7,67,21.9,21.9,21.9,13.4,13.4
12.4,2,5,256.141384,410.0599603,1.9,62,20.9,20.9,20.9,12.4,12.4
12.6,8.5,0,262.17978,410.7464888,1.8,76,21.1,21.1,21.1,12.6,12.6
11.0,9.1,0,848.3593547,344.5925974,2.8,95,19.5,19.5,19.5,11.0,11.0
9.44,7.2,0,338.4467877,384.6355094,2.8,95,17.9,17.9,17.9,9.44,9.44
9.04,8.1,0,569.6737027,359.4973402,3.7,63,17.5,17.5,17.5,9.04,9.04
10.8,7.4,0,319.0181808,394.9005392,3.6,71,19.3,19.3,19.3,10.8,10.8
11.4,8.2,0,416.9661405,389.0918707,2.2,75,19.9,19.9,19.9,11.4,11.4
11.2,10.2,0,931.6182817,338.2363498,2.9,81,19.7,19.7,19.7,11.2,11.2
12.0,7.6,0,690.6488752,366.7131683,2.8,82,20.5,20.5,20.5,12.0,12.0
11.9,7.2,0,415.5244718,392.5083382,2.3,82,20.4,20.4,20.4,11.9,11.9
10.1,5.5,1,373.234882,385.8884822,2.4,94,18.6,18.6,18.6,10.1,10.1
11.5,8.3,0,670.0774039,365.738698,3,84,20,20,20,11.5,11.5
11.7,10.1,0,677.8174752,366.3538969,2.7,77,20.2,20.2,20.2,11.7,11.7
11.1,10.3,0,768.2973097,353.8757698,3,75,19.6,19.6,19.6,11.1,11.1
11.5,12.4,0,958.9595249,338.188499,2.5,76,20,20,20,11.5,11.5
12.3,7.1,0,507.2455489,386.7211295,3.5,72,20.8,20.8,20.8,12.3,12.3
13.0,8.9,0,726.2097227,370.5096743,3.6,87,21.5,21.5,21.5,13.0,13.0
13.5,9,0,818.2034873,365.2628814,3.8,86,22,22,22,13.5,13.5
15.9,7.6,0,422.9263223,417.5828868,3.2,82,24.4,24.4,24.4,15.9,15.9
14.0,3.8,32,272.4772779,419.6597298,2.5,81,22.5,22.5,22.5,14.0,14.0
12.4,5.3,0,273.4735434,410.0599603,2.2,86,20.9,20.9,20.9,12.4,12.4
11.6,12.7,0,926.5719275,342.6249432,2.2,87,20.1,20.1,20.1,11.6,11.6
9.74,11.3,0,975.5552288,325.4608468,2.3,74,18.2,18.2,18.2,9.74,9.74
11.8,12.3,0,927.8062809,344.0372215,3,71,20.3,20.3,20.3,11.8,11.8
9.84,11.7,0,810.8992572,342.4794888,3.8,90,18.3,18.3,18.3,9.84,9.84
7.74,10.9,1,762.1919867,334.3796391,3.1,75,16.2,16.2,16.2,7.74,7.74
7.84,13.6,0,874.9246947,323.8039504,2.9,73,16.3,16.3,16.3,7.84,7.84
11.0,13.7,0,930.5350866,338.8803139,2.7,62,19.5,19.5,19.5,11.0,11.0
11.4,6.3,0,281.9124519,404.1488436,1.6,86,19.9,19.9,19.9,11.4,11.4
10.7,4.6,4,283.0252581,400.0512912,2.5,77,19.2,19.2,19.2,10.7,10.7
11.4,9.7,0,740.2294904,348.7007497,3.7,59,19.9,19.9,19.9,11.4,11.4
12.0,12.7,0,578.3612828,370.4703598,2.7,66,20.5,20.5,20.5,12.0,12.0
11.7,9.2,0,415.1961287,386.5935748,2.7,77,20.2,20.2,20.2,11.7,11.7
11.9,10.3,0,567.475216,371.2376406,2.8,96,20.4,20.4,20.4,11.9,11.9
10.3,7.9,24,246.5233397,397.142213,2.6,75,18.8,18.8,18.8,10.3,10.3
